,Time,C0,C1,C2,C3,C4
0,-0.10722246,,,,,
1,-0.03872044,,,,,
2,-0.011299488,,,,,
3,-0.012146907,,,,,
4,-0.045546327,,,,,
5,-0.091674395,,,,,
6,-0.11249035,,,,,
7,-0.14663717,,,,,
8,-0.16490878,,,,,
9,-0.18794677,,,,,
10,-0.20112273,,,,,
11,-0.22867359,,,,,
12,-0.3126792,114.71058679119884,112.85736831363197,107.57581069621017,96.81732962267357,84.9246363430191
13,-0.30833927,114.71058679119872,112.85736831363198,107.57581069621018,96.81732962267354,84.92463634301905
14,-0.34276396,114.7105867911988,112.85736831363194,107.57581069621013,96.81732962267348,84.92463634301909
15,-0.23628925,114.71058679119878,112.85736831363194,107.57581069621016,96.81732962267348,84.92463634301902
16,0.045866564,114.71058679119879,112.85736831363195,107.57581069621014,96.81732962267354,84.9246363430191
17,0.2697005,114.71058679119874,112.857368313632,107.57581069621017,96.81732962267354,84.92463634301906
18,0.20007181,114.71058679119875,112.85736831363194,107.57581069621016,96.81732962267354,84.92463634301913
19,0.1974844,114.71058679119875,112.85736831363198,107.57581069621014,96.81732962267355,84.92463634301905
20,0.25219157,114.71058679119882,112.85736831363201,107.57581069621017,96.81732962267353,84.92463634301909
21,0.26713604,114.71058679119882,112.85736831363197,107.57581069621013,96.81732962267355,84.92463634301912
22,0.25106075,114.71058679119875,112.85736831363194,107.57581069621014,96.81732962267357,84.92463634301905
23,0.12821068,114.71058679119874,112.85736831363198,107.57581069621013,96.81732962267355,84.92463634301913
24,0.009762347,114.70735125099071,112.98558413242723,108.3196302624743,96.99784325634005,84.9420522442238
25,-0.08331413,114.7105867911988,112.85736831363197,107.57581069621018,96.81732962267355,84.92463634301906
26,-0.16373697,114.71058679119878,112.85736831363192,107.57581069621014,96.81732962267355,84.9246363430191
27,-0.19187616,114.7105867911988,112.85736831363197,107.57581069621014,96.81732962267353,84.92463634301906
28,-0.23528068,114.71058679119874,112.85736831363198,107.5758106962102,96.81732962267355,84.92463634301907
29,-0.2985259,114.71058679119879,112.85736831363195,107.5758106962101,96.81732962267348,84.92463634301907
30,-0.3796218,114.71058679119875,112.85736831363201,107.57581069621014,96.81732962267354,84.92463634301913
31,-0.4301787,114.71058679119884,112.85736831363197,107.57581069621017,96.81732962267348,84.92463634301909
32,-0.5759355,114.7105867911988,112.85736831363201,107.57581069621013,96.81732962267355,84.92463634301907
33,-0.7151129,114.71058679119884,112.85736831363191,107.57581069621013,96.81732962267354,84.92463634301907
34,-0.88923705,114.71058679119874,112.85736831363192,107.57581069621014,96.81732962267358,84.92463634301913
35,-1.0451809,114.71058679119876,112.85736831363201,107.57581069621017,96.8173296226736,84.92463634301909
36,-1.2388783,114.71058679119876,112.85736831363195,107.57581069621016,96.81732962267355,84.92463634301912
37,-1.3327966,114.71058679119882,112.857368313632,107.5758106962102,96.81732962267354,84.92463634301909
38,-1.4322867,114.7105867911988,112.85736831363197,107.57581069621017,96.8173296226735,84.92463634301906
39,-1.4518746,114.71058679119868,112.85736831363192,107.57581069621014,96.81732962267353,84.92463634301909
40,-1.4780651,114.71058679119879,112.85736831363195,107.57581069621016,96.81732962267351,84.92463634301915
41,-1.5072659,114.7105867911989,112.85736831363197,107.57581069621021,96.81732962267358,84.92463634301909
42,-1.6004304,114.71058679119872,112.857368313632,107.57581069621016,96.81732962267354,84.92463634301909
43,-1.6685715,114.71058679119874,112.85736831363198,107.57581069621014,96.81732962267355,84.92463634301903
44,-1.7678322,114.69956784696397,112.92884025292375,108.03888122261205,96.9215952720731,84.93840446439818
45,-1.8516839,114.69956784696396,112.92884025292372,108.03888122261203,96.92159527207309,84.9384044643982
46,-1.9662364,114.69956784696396,112.92884025292375,108.03888122261208,96.92159527207313,84.93840446439818
47,-2.0745459,114.71058679119879,112.85736831363198,107.5758106962101,96.81732962267351,84.92463634301906
48,-2.0101213,114.7105867911987,112.85736831363201,107.57581069621021,96.8173296226736,84.92463634301909
49,-1.9950379,114.71058679119878,112.85736831363195,107.57581069621018,96.81732962267353,84.92463634301906
