,Time,C0,∂vel1/∂vel1,∂vel1/∂pos0,∂vel1/∂vel2,∂vel1/∂vel11
0,0.28058845,,,,,
1,0.26151943,,,,,
2,0.1991077,,,,,
3,0.19337025,,,,,
4,0.18610121,,,,,
5,0.19021398,,,,,
6,0.16191572,-0.017754732869057384,0.24623256082913442,0.23812479655821875,0.11577735754047826,0.2136641360043844
7,0.15435009,-0.017754732869057394,0.24623256082913458,0.23812479655821855,0.11577735754047835,0.21366413600438433
8,0.14801458,-0.017754732869057342,0.24623256082913428,0.23812479655821867,0.11577735754047812,0.2136641360043844
9,0.14713728,-0.017754732869057464,0.24623256082913444,0.23812479655821878,0.11577735754047824,0.21366413600438433
10,0.16934316,-0.017754732869057373,0.24623256082913442,0.23812479655821872,0.11577735754047827,0.2136641360043842
11,0.18357076,-0.017754732869057308,0.24623256082913444,0.2381247965582188,0.1157773575404783,0.21366413600438428
12,0.19178447,-0.017754732869057308,0.24623256082913417,0.23812479655821855,0.11577735754047834,0.2136641360043841
13,0.20398176,-0.017754732869057387,0.2462325608291345,0.23812479655821855,0.11577735754047824,0.21366413600438416
14,0.21592341,-0.01775473286905735,0.24623256082913436,0.23812479655821858,0.11577735754047833,0.21366413600438444
15,0.2505641,-0.01775473286905739,0.24623256082913444,0.2381247965582185,0.11577735754047822,0.21366413600438428
16,0.24834414,-0.017754732869057335,0.2462325608291345,0.23812479655821855,0.11577735754047823,0.21366413600438416
17,0.21108687,-0.017754732869057297,0.24623256082913442,0.2381247965582185,0.1157773575404783,0.21366413600438422
18,0.13733988,-0.017754732869057432,0.24623256082913447,0.23812479655821858,0.11577735754047824,0.21366413600438422
19,0.055981413,-0.01775473286905723,0.24623256082913464,0.23812479655821855,0.1157773575404782,0.21366413600438428
20,-0.050248113,-0.01775473286905742,0.24623256082913433,0.23812479655821867,0.11577735754047838,0.21366413600438428
21,-0.11839867,-0.01775473286905733,0.24623256082913458,0.2381247965582186,0.11577735754047828,0.21366413600438428
22,-0.19351265,-0.01775473286905744,0.24623256082913444,0.23812479655821842,0.11577735754047838,0.2136641360043842
23,-0.25366965,-0.017754732869057405,0.2462325608291345,0.23812479655821842,0.11577735754047834,0.2136641360043841
24,-0.2599864,-0.01920803542123484,0.24280547149826337,0.2314008398820307,0.11674221696943936,0.19861721434564691
25,-0.2866273,-0.01775473286905742,0.2462325608291348,0.23812479655821894,0.11577735754047841,0.21366413600438441
26,-0.32003227,-0.017754732869057394,0.2462325608291346,0.23812479655821867,0.1157773575404783,0.2136641360043845
27,-0.36990777,-0.017754732869057325,0.24623256082913414,0.23812479655821878,0.11577735754047819,0.21366413600438444
28,-0.4229659,-0.017754732869057308,0.24623256082913456,0.23812479655821855,0.11577735754047833,0.2136641360043845
29,-0.4467631,-0.017754732869057457,0.24623256082913472,0.23812479655821878,0.11577735754047844,0.2136641360043845
30,-0.6119696,-0.01775473286905746,0.24623256082913497,0.2381247965582186,0.1157773575404786,0.21366413600438447
31,-0.7079012,-0.017754732869057325,0.24623256082913478,0.23812479655821867,0.11577735754047835,0.21366413600438433
32,-0.81925935,-0.017754732869057297,0.2462325608291349,0.23812479655821872,0.11577735754047837,0.2136641360043841
33,-0.8879847,-0.01775473286905734,0.24623256082913447,0.23812479655821844,0.1157773575404783,0.2136641360043845
34,-1.0160578,-0.01775473286905742,0.24623256082913456,0.2381247965582186,0.11577735754047827,0.2136641360043844
35,-1.1532393,-0.017754732869057373,0.2462325608291347,0.23812479655821864,0.11577735754047835,0.21366413600438433
36,-1.3188903,-0.017754732869057377,0.2462325608291349,0.23812479655821875,0.11577735754047852,0.2136641360043844
37,-1.4149084,-0.017754732869057346,0.24623256082913458,0.2381247965582187,0.11577735754047817,0.21366413600438433
38,-1.4919899,-0.01775473286905739,0.24623256082913458,0.23812479655821875,0.1157773575404783,0.21366413600438428
39,-1.5017143,-0.017754732869057342,0.24623256082913497,0.2381247965582187,0.11577735754047845,0.21366413600438455
40,-1.5326896,-0.017754732869057408,0.24623256082913453,0.23812479655821872,0.11577735754047848,0.21366413600438428
41,-1.6188412,-0.017754732869057318,0.24623256082913492,0.23812479655821844,0.11577735754047844,0.21366413600438433
42,-1.6516558,-0.017754732869057335,0.24623256082913486,0.23812479655821847,0.11577735754047841,0.21366413600438455
43,-1.5761039,-0.01775473286905734,0.24623256082913447,0.2381247965582187,0.11577735754047834,0.21366413600438433
44,-1.4358841,-0.01775473286905738,0.24623256082913436,0.23812479655821858,0.11577735754047838,0.2136641360043845
45,-1.2446218,-0.017754732869057318,0.24623256082913458,0.23812479655821878,0.11577735754047842,0.2136641360043844
46,-0.70240617,-0.017754732869057363,0.24623256082913497,0.23812479655821847,0.11577735754047824,0.21366413600438447
47,-0.19921951,-0.0177547328690574,0.24623256082913436,0.23812479655821844,0.11577735754047837,0.2136641360043844
48,-0.118745275,-0.017754732869057214,0.24623256082913506,0.23812479655821872,0.11577735754047824,0.21366413600438472
49,0.24301651,-0.017754732869057363,0.24623256082913483,0.23812479655821867,0.11577735754047838,0.21366413600438444
50,0.68459886,-0.01775473286905739,0.24623256082913472,0.23812479655821872,0.11577735754047828,0.21366413600438444
51,1.0114088,-0.017754732869057422,0.2462325608291342,0.2381247965582185,0.11577735754047833,0.21366413600438444
52,1.1772501,-0.017754732869057432,0.24623256082913458,0.23812479655821853,0.11577735754047844,0.21366413600438428
53,1.3145882,-0.01775473286905738,0.2462325608291346,0.238124796558219,0.11577735754047833,0.21366413600438428
