,Time,C0,∂vel3/∂vel3,∂vel3/∂pos2,∂vel3/∂vel0,∂vel3/∂vel9
0,-0.10722246,,,,,
1,-0.03872044,,,,,
2,-0.011299488,,,,,
3,-0.012146907,,,,,
4,-0.045546327,,,,,
5,-0.091674395,,,,,
6,-0.11249035,,,,,
7,-0.14663717,,,,,
8,-0.16490878,,,,,
9,-0.18794677,,,,,
10,-0.20112273,,,,,
11,-0.22867359,,,,,
12,-0.3126792,-0.001314856245207109,-0.23379634474395045,-0.05134300590974236,-0.041302603510955514,0.1892614508872941
13,-0.30833927,-0.0013148562452070852,-0.23379634474395034,-0.05134300590974242,-0.041302603510955466,0.18926145088729385
14,-0.34276396,-0.0013148562452071026,-0.2337963447439502,-0.05134300590974247,-0.041302603510955396,0.18926145088729393
15,-0.23628925,-0.0013148562452071067,-0.2337963447439501,-0.05134300590974242,-0.04130260351095537,0.18926145088729368
16,0.045866564,-0.001314856245207096,-0.2337963447439502,-0.051343005909742445,-0.0413026035109554,0.18926145088729374
17,0.2697005,-0.0013148562452071084,-0.23379634474395022,-0.05134300590974242,-0.041302603510955285,0.18926145088729357
18,0.20007181,-0.0013148562452070806,-0.23379634474395017,-0.051343005909742306,-0.041302603510955424,0.1892614508872937
19,0.1974844,-0.0013148562452071188,-0.2337963447439502,-0.0513430059097425,-0.04130260351095559,0.18926145088729382
20,0.25219157,-0.0013148562452071132,-0.2337963447439505,-0.05134300590974236,-0.041302603510955375,0.18926145088729385
21,0.26713604,-0.0013148562452071073,-0.2337963447439501,-0.0513430059097425,-0.041302603510955355,0.18926145088729351
22,0.25106075,-0.0013148562452071015,-0.23379634474395017,-0.051343005909742445,-0.04130260351095531,0.18926145088729374
23,0.12821068,-0.0013148562452070854,-0.23379634474395028,-0.05134300590974236,-0.041302603510955375,0.18926145088729396
24,0.009762347,-0.001176863643721216,-0.23397144527312172,-0.05118149340253236,-0.04133620770639792,0.18756909946016584
25,-0.08331413,-0.001314856245207098,-0.23379634474395028,-0.05134300590974242,-0.04130260351095534,0.18926145088729385
26,-0.16373697,-0.0013148562452070926,-0.23379634474395036,-0.05134300590974247,-0.04130260351095538,0.1892614508872939
27,-0.19187616,-0.0013148562452071284,-0.23379634474395022,-0.0513430059097425,-0.04130260351095546,0.18926145088729374
28,-0.23528068,-0.001314856245207121,-0.23379634474394997,-0.05134300590974253,-0.04130260351095541,0.18926145088729351
29,-0.2985259,-0.001314856245207134,-0.23379634474395025,-0.05134300590974239,-0.04130260351095529,0.18926145088729368
30,-0.3796218,-0.001314856245207086,-0.2337963447439505,-0.05134300590974242,-0.041302603510955396,0.18926145088729365
31,-0.4301787,-0.0013148562452071537,-0.23379634474395017,-0.05134300590974247,-0.04130260351095532,0.18926145088729357
32,-0.5759355,-0.0013148562452071466,-0.23379634474395034,-0.05134300590974236,-0.04130260351095548,0.18926145088729382
33,-0.7151129,-0.0013148562452070865,-0.23379634474395025,-0.05134300590974222,-0.04130260351095548,0.18926145088729385
34,-0.88923705,-0.0013148562452070598,-0.23379634474395017,-0.05134300590974253,-0.04130260351095536,0.18926145088729368
35,-1.0451809,-0.0013148562452071366,-0.23379634474395017,-0.05134300590974242,-0.041302603510955424,0.18926145088729365
36,-1.2388783,-0.0013148562452071203,-0.23379634474395034,-0.05134300590974247,-0.04130260351095549,0.18926145088729385
37,-1.3327966,-0.0013148562452071273,-0.2337963447439503,-0.05134300590974239,-0.04130260351095546,0.18926145088729382
38,-1.4322867,-0.001314856245207102,-0.2337963447439504,-0.05134300590974236,-0.041302603510955486,0.18926145088729385
39,-1.4518746,-0.001314856245207104,-0.23379634474395006,-0.051343005909742306,-0.04130260351095548,0.18926145088729382
40,-1.4780651,-0.0013148562452070772,-0.23379634474395022,-0.0513430059097425,-0.041302603510955466,0.1892614508872938
41,-1.5072659,-0.0013148562452071557,-0.23379634474395022,-0.05134300590974242,-0.041302603510955264,0.18926145088729357
42,-1.6004304,-0.0013148562452071188,-0.23379634474395003,-0.05134300590974239,-0.041302603510955424,0.18926145088729365
