,Time,C0,C1,C2,C3,C4
0,-0.10722246,,,,,
1,-0.03872044,,,,,
2,-0.011299488,,,,,
3,-0.012146907,,,,,
4,-0.045546327,,,,,
5,-0.091674395,,,,,
6,-0.11249035,,,,,
7,-0.14663717,,,,,
8,-0.16490878,,,,,
9,-0.18794677,,,,,
10,-0.20112273,,,,,
11,-0.22867359,,,,,
12,-0.3126792,113.01601053171306,109.56474676808041,100.64590523489683,97.99499212664615,95.39081070327694
13,-0.30833927,113.0160105317131,109.56474676808043,100.64590523489687,97.9949921266462,95.390810703277
14,-0.34276396,113.01601053171308,109.56474676808043,100.64590523489689,97.99499212664622,95.39081070327691
15,-0.23628925,113.0160105317131,109.56474676808044,100.64590523489683,97.9949921266462,95.39081070327691
16,0.045866564,113.01601053171316,109.56474676808045,100.64590523489684,97.9949921266462,95.39081070327691
17,0.2697005,113.01601053171314,109.56474676808043,100.64590523489684,97.99499212664621,95.39081070327698
18,0.20007181,113.01601053171306,109.5647467680804,100.64590523489687,97.99499212664622,95.39081070327697
19,0.1974844,113.01601053171306,109.56474676808043,100.64590523489686,97.99499212664614,95.390810703277
20,0.25219157,113.01601053171309,109.56474676808041,100.64590523489679,97.9949921266462,95.39081070327697
21,0.26713604,113.0160105317131,109.56474676808043,100.64590523489683,97.99499212664621,95.39081070327691
22,0.25106075,113.01601053171306,109.56474676808041,100.64590523489677,97.99499212664612,95.39081070327688
23,0.12821068,113.01601053171302,109.56474676808038,100.64590523489682,97.99499212664618,95.39081070327691
24,0.009762347,113.29139714988999,109.56228795480749,100.64530477981755,98.13809347253843,95.42939666433911
25,-0.08331413,113.01601053171316,109.56474676808043,100.64590523489682,97.9949921266462,95.39081070327698
26,-0.16373697,113.01601053171304,109.5647467680804,100.64590523489689,97.99499212664618,95.39081070327697
27,-0.19187616,113.01601053171304,109.56474676808044,100.6459052348968,97.99499212664618,95.3908107032769
28,-0.23528068,113.01601053171314,109.56474676808044,100.64590523489686,97.99499212664618,95.39081070327691
29,-0.2985259,113.01601053171312,109.56474676808043,100.64590523489684,97.99499212664618,95.39081070327693
30,-0.3796218,113.016010531713,109.56474676808041,100.64590523489684,97.99499212664618,95.39081070327693
31,-0.4301787,113.01601053171312,109.56474676808038,100.64590523489687,97.99499212664612,95.39081070327695
32,-0.5759355,113.01601053171305,109.56474676808043,100.64590523489686,97.99499212664618,95.390810703277
33,-0.7151129,113.01601053171308,109.5647467680804,100.64590523489686,97.99499212664618,95.39081070327694
34,-0.88923705,113.01601053171305,109.56474676808041,100.64590523489687,97.9949921266462,95.39081070327697
35,-1.0451809,113.01601053171306,109.56474676808047,100.64590523489682,97.99499212664618,95.39081070327687
36,-1.2388783,113.01601053171309,109.56474676808037,100.64590523489692,97.99499212664618,95.39081070327698
37,-1.3327966,113.01601053171305,109.56474676808043,100.6459052348969,97.9949921266462,95.39081070327697
38,-1.4322867,113.01601053171295,109.56474676808038,100.64590523489683,97.99499212664618,95.39081070327694
39,-1.4518746,113.01601053171305,109.56474676808044,100.6459052348968,97.9949921266462,95.39081070327693
40,-1.4780651,113.01601053171312,109.56474676808038,100.64590523489682,97.99499212664624,95.39081070327691
41,-1.5072659,113.01601053171308,109.5647467680804,100.64590523489683,97.99499212664621,95.39081070327693
42,-1.6004304,113.01601053171314,109.56474676808041,100.64590523489687,97.9949921266462,95.39081070327704
43,-1.6685715,113.01601053171306,109.56474676808041,100.64590523489684,97.99499212664615,95.39081070327694
44,-1.7678322,113.01601053171304,109.56474676808035,100.64590523489687,97.99499212664615,95.39081070327693
45,-1.8516839,113.12628711490729,109.55822608614137,100.6458750161705,98.03530459996499,95.42249663352611
46,-1.9662364,113.12628711490727,109.5582260861414,100.64587501617055,98.03530459996495,95.42249663352605
47,-2.0745459,113.12628711490723,109.55822608614135,100.64587501617062,98.03530459996497,95.42249663352598
48,-2.0101213,113.12628711490727,109.5582260861414,100.64587501617058,98.035304599965,95.42249663352608
49,-1.9950379,113.19840683439503,109.56232613104731,100.60274829792954,97.99000414714656,95.36112739435045
